Ts,ActP
1645449320,109
1645449322,110
1645449322,110
1645449323,107
1645449324,3
1645449325,3
1645449326,3
1645449327,3
1645449328,3
1645449329,3
1645449330,3
1645449331,3
1645449332,3
1645449333,3
1645449334,3
1645449335,3
1645449336,53
1645449337,124
1645449338,123
1645449339,114
1645449340,116
1645449341,112
1645449342,120
1645449343,120
1645449344,3
1645449345,3
1645449346,3
1645449347,3
1645449348,3
1645449349,3
1645449350,3
1645449351,3
1645449352,3
1645449353,3
1645449354,3
1645449355,3
1645449356,133
1645449357,117
1645449358,109
1645449359,109
1645449360,111
1645449361,107
1645449362,108
1645449363,106
1645449364,3
1645449365,3
1645449366,3
1645449367,3
1645449368,3
1645449369,3
1645449370,3
1645449371,3
1645449372,3
1645449373,3
1645449374,3
1645449375,3
1645449376,155
1645449377,117
1645449378,117
1645449379,121
1645449380,117
1645449381,119
1645449382,112
1645449383,120
1645449384,3
1645449385,3
1645449386,3
1645449387,3
1645449388,3
1645449389,3
1645449390,3
1645449391,3
1645449392,3
1645449393,3
1645449394,3
1645449395,3
1645449396,89
1645449397,119
1645449398,112
1645449399,108
1645449400,112
1645449401,108
1645449402,108
1645449403,80
1645449404,3
1645449405,3
1645449406,3
1645449407,3
1645449408,3
1645449409,3
1645449410,3
1645449411,3
1645449412,3
1645449413,3
1645449414,3
1645449415,3
1645449416,117
1645449417,116
1645449418,114
1645449419,119
1645449420,117
1645449421,120
1645449422,118
1645449423,25
1645449424,3
1645449425,3
1645449426,3
1645449427,3
1645449428,3
1645449430,3
1645449431,3
1645449432,3
1645449433,3
1645449434,3
1645449434,3
1645449435,10
1645449437,123
1645449438,114
1645449439,113
1645449440,107
1645449441,109
1645449442,112
1645449443,110
1645449444,6
1645449445,3
1645449446,3
1645449447,3
1645449448,3
1645449449,3
1645449450,3
1645449451,3
1645449451,3
1645449452,3
1645449453,3
1645449454,3
1645449455,3
1645449456,58
1645449457,144
1645449458,119
1645449459,115
1645449460,117
